Node_X,Node_Y,Best_Path,Best_Path_Length,Distance_0,Distance_1,Distance_2,Distance_3,Distance_4,Distance_5,Distance_6,Distance_7,Distance_8,Distance_9
72,24,0.0,322.898761268205,0.0,13.341664064126334,78.49203781276162,42.43819034784589,65.7419196555744,19.1049731745428,59.23681287847955,60.37383539249432,59.135437767890075,17.69180601295413
75,11,1.0,322.898761268205,13.341664064126334,0.0,91.0659101969557,52.392747589718944,78.79086241436883,26.627053911388696,58.69412236331676,73.40980860893181,72.42237223399962,15.0
28,89,2.0,322.898761268205,78.49203781276162,91.0659101969557,0.0,74.32361670424818,16.15549442140351,67.77905281132217,87.69264507357501,20.248456731316587,26.570660511172846,84.30895563343196
96,59,3.0,322.898761268205,42.43819034784589,52.392747589718944,74.32361670424818,0.0,58.180752831155424,54.20332093147061,97.41663102366043,54.42425929675111,47.853944456021594,60.0
43,83,4.0,322.898761268205,65.7419196555744,78.79086241436883,16.15549442140351,58.180752831155424,0.0,57.87054518492115,85.07055894961546,5.385164807134504,10.44030650891055,73.97972695272672
53,26,5.0,322.898761268205,19.1049731745428,26.627053911388696,67.77905281132217,54.20332093147061,57.87054518492115,0.0,43.266615305567875,52.61178575186362,54.0,16.55294535724685
17,2,6.0,322.898761268205,59.23681287847955,58.69412236331676,87.69264507357501,97.41663102366043,85.07055894961546,43.266615305567875,0.0,80.99382692526635,85.90692637965812,43.93176527297759
45,78,7.0,322.898761268205,60.37383539249432,73.40980860893181,20.248456731316587,54.42425929675111,5.385164807134504,52.61178575186362,80.99382692526635,0.0,8.246211251235321,68.65857557508748
53,80,8.0,322.898761268205,59.135437767890075,72.42237223399962,26.570660511172846,47.853944456021594,10.44030650891055,54.0,85.90692637965812,8.246211251235321,0.0,69.35416353759881
60,11,9.0,322.898761268205,17.69180601295413,15.0,84.30895563343196,60.0,73.97972695272672,16.55294535724685,43.93176527297759,68.65857557508748,69.35416353759881,0.0
